Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn phím cơ AKKO MonsGeek MG75 Prunus Lannesiana ,Akko,EK387L RGB,không dây,0.6681222707423581,blue,999000
Bàn phím cơ AULA F99 3 mode Trắng xám ,AULA,EK87,không dây,0.7212003987089425,black,1689000
Bàn phím cơ AKKO MonsGeek MG75 Prunus Lannesiana ,Akko,H75S Panda 3 Mode Wireless,không dây,0.6681222707423581,brown,999000
Bàn phím cơ AKKO 3098 RF Dracula Castle ,Akko,GP75CPM,không dây,0.7751091703056768,pink,1599000
Bàn phím cơ AULA F99 3 mode Trắng tím ,AULA,GM328,không dây,0.7212003987089425,blue,1689000
Bàn phím cơ AKKO MonsGeek MG75 Black & Cyan ,Akko,EK368L,không dây,0.6681222707423581,blue,999000
Bàn phím Gaming Asus ROG Falchion Ace Wired RGB White 90MP0346-BKUA10,Asus,ROG Falchion,có dây,0.6069868995633187,blue,2799000
Bàn phím cơ AKKO 3087 RF World Tour Tokyo ,Akko,EK87,vừa có dây vừa không dây,0.7270742358078602,cherry,1599000
Bàn phím cơ AKKO MonsGeek MG75 Black & Cyan ,Akko,E-DRA EK396W V2,không dây,0.6681222707423581,white,999000
Bàn phím cơ AKKO ACR Pro Alice Plus - Spray paint White ,Akko,EK375,không dây,0.7707423580786026,yellow,2699000
Bàn phím cơ AKKO 5108S Naraka Blade Point ,Akko,GP75CPM,vừa có dây vừa không dây,0.9061135371179039,silver,2099000
Bàn phím cơ AKKO 3087 RF Dragon Ball Z - Goku ,Akko,EK1280s V2,không dây,0.7270742358078602,yellow,1599000
Bàn phím cơ AKKO MonsGeek MG108 Prunus Lannesiana ,Akko,CD87HR,không dây,0.9126637554585153,red,999000
Bàn phím cơ AKKO 3087 RF Dragon Ball Z - Goku ,Akko,EK1280s V2,không dây,0.7270742358078602,cherry,1599000
Bàn phím cơ AKKO MonsGeek MG108 Prunus Lannesiana ,Akko,EK368L,không dây,0.9126637554585153,yellow,999000
Bàn phím cơ AKKO 3108 RF World Tour Tokyo ,Akko,Brown Switch ,vừa có dây vừa không dây,0.9017467248908297,white,1699000
Bàn phím cơ AKKO 3108 RF Dragon Ball Z - Goku ,Akko,T87s Pro Wireless,vừa có dây vừa không dây,0.7212003987089425,black,1699000
Bàn phím cơ AKKO 3108 RF World Tour Tokyo ,Akko,Brown Switch ,vừa có dây vừa không dây,0.9017467248908297,white,1699000
Bàn phím cơ AKKO 3108 RF One Piece - Luffy ,Akko,Brown Switch ,không dây,0.9017467248908297,pink,1699000
Bàn phím cơ AKKO MonsGeek MG108 Prunus Lannesiana ,Akko,D87S RGB,không dây,0.9126637554585153,white,999000
Bàn phím Gaming Asus ROG Azoth NX SW ,Asus,EK368L,có dây,0.6528384279475983,pink,5999000
Bàn phím cơ AKKO 5075B Plus Dragon Ball Super - Goku ,Akko,TC-3218,không dây,0.6724890829694323,cherry,2699000
Bàn phím cơ AKKO 3087 RF World Tour Tokyo ,Akko,CK87S,vừa có dây vừa không dây,0.7270742358078602,black,1599000
Bàn phím Gaming Asus ROG Azoth NX SM white ,Asus,Everest Max,có dây,0.6528384279475983,silver,5999000
Bàn phím cơ AKKO 5075B Plus Naruto ,Akko,Asus ROG Strix Scope NX TKL Deluxe,không dây,0.6724890829694323,pink,2699000
Bàn phím cơ AKKO 3087 RF One Piece - Luffy ,Akko,CD87HR,không dây,0.7270742358078602,cherry,1599000
Bàn phím Gaming Asus ROG FALCHION RX LP RED ,Asus,ROG Falchion,có dây,0.6091703056768559,blue,3799000
Bàn phím cơ AKKO 3087 RF One Piece - Luffy ,Akko,EK87,không dây,0.7270742358078602,black,1599000
Bàn phím cơ AKKO 3098 RF Dracula Castle ,Akko,KB1,không dây,0.7751091703056768,blue,1599000
Bàn phím Gaming Asus ROG FALCHION RX LP BLUE ,Asus,ROG Falchion,có dây,0.6091703056768559,blue,3799000
Bàn phím Gaming Asus ROG Strix Scope II 96 WL NX SM ,Asus,Asus ROG Strix Scope NX TKL Deluxe,có dây,0.7641921397379913,green,3899000
Bàn phím cơ có dây Logitech G713 RGB TKL Off White Linear ,Logitech,ROG Falchion,có dây,0.7212003987089425,blue,2999000
Bàn phím cơ có dây Logitech G713 RGB TKL Off White Tactile ,Logitech,Everest Max,có dây,0.7212003987089425,white,2999000
Bàn phím cơ không dây Newmen GM840 Dual Mode Blue sw ,Newmen,CD87HR,không dây,0.6179039301310044,yellow,1249000
Bàn phím cơ không dây Newmen GM840 Dual Mode Red sw ,Newmen,EK1280s V2,có dây,0.6179039301310044,white,1249000
Bàn phím cơ có dây Fuhlen CK87S Smoke Panda CSA ,Fuhlen,CK87S,không dây,0.7212003987089425,white,1249000
Bàn phím cơ gaming không dây Edra EK368L Beta Brown switch ,Edra,EK368L,không dây,0.6200873362445415,silver,479000
Bàn phím cơ gaming không dây Edra EK368L Alpha Red switch ,Edra,EK368L,không dây,0.6200873362445415,pink,479000
Bàn phím cơ gaming không dây Edra EK368L Alpha Brown switch ,Edra,EK368L,không dây,0.6200873362445415,white,479000
Bàn phím cơ gaming không dây Edra EK368L Alpha Blue switch ,Edra,EK368L,không dây,0.6200873362445415,silver,479000
Bàn phím cơ gaming không dây Edra EK368L Beta Red switch ,Edra,EK368L,không dây,0.6200873362445415,pink,429000
Bàn phím cơ gaming không dây Edra EK368L Beta Blue switch ,Edra,EK368L,không dây,0.6200873362445415,blue,429000
Bàn phím cơ gaming KENOO ESPORT EK87 - Màu đen - Brown switch,KENOO,EK87,không dây,0.7212003987089425,brown,499000
Bàn phím game Corsair K70 RGB Pro Speed sw ,Corsair,Asus ROG Strix Scope NX TKL Deluxe,có dây,0.9104803493449781,cherry,3469000
Bàn phím gaming có dây Corsair K70 PRO-WHT-OPX Silver Switch Led RGB CH-910951A-NA,Corsair,D87S RGB,không dây,0.7212003987089425,green,3829000
Bàn phím gaming có dây Corsair K70 PRO-BLK-OPX Silver Switch Led RGB CH-910941A-NA,Corsair,H75S Panda 3 Mode Wireless,không dây,0.7212003987089425,yellow,3549000
Bàn phím cơ EDRA EK3104L Alpha Blue switch,Edra,3084,có dây,0.8973799126637555,blue,629000
Bàn phím cơ EDRA EK3104L Alpha Red switch,Edra,D87S RGB,có dây,0.8973799126637555,blue,629000
Bàn phím cơ EDRA EK3104L Alpha Brown switch,Edra,EK387L White,có dây,0.8973799126637555,blue,629000
Bàn phím cơ EDRA EK3104L Beta Blue switch,Edra,3084,có dây,0.8973799126637555,blue,629000
Bàn phím có dây Steelseries Apex Pro 64626,SteelSeries,Brown Switch ,có dây,0.7212003987089425,yellow,4489000
Bàn phím cơ EDRA EK3104L Beta Red switch,Edra,CK87S,có dây,0.8973799126637555,blue,629000
Bàn phím có dây Steelseries Apex Pro Mini US 64820,SteelSeries,FL100CPM,có dây,0.7212003987089425,black,4489000
Bàn phím cơ EDRA EK3104L Beta Brown switch,Edra,GP75CPM,có dây,0.8973799126637555,blue,629000
Bàn phím cơ Corsair K100 RGB Midnight Gold Optical sw ,Corsair,K10,có dây,0.9694323144104804,black,5779000
Bàn phím không dây Steelseries Apex Pro Mini WL US 64842,SteelSeries,CK87S,vừa có dây vừa không dây,0.7212003987089425,brown,5689000
Bàn phím có dây Steelseries Apex 9 TKL US 64847 - Swappable Switch,SteelSeries,KB1,vừa có dây vừa không dây,0.7212003987089425,white,2989000
Bàn phím gaming không dây Corsair K70 Pro Mini trắng Red sw ,Corsair,KB1,có dây,0.7212003987089425,yellow,2539000
Bàn phím có dây Steelseries Apex 9 Mini US - 64837 Swappable Switch,SteelSeries,KB1,có dây,0.7212003987089425,red,2589000
Bàn phím cơ gaming Corsair K60 PRO SE RGB LED,Corsair,KB1,vừa có dây vừa không dây,0.7212003987089425,blue,2119000
Bàn phím game không dây Corsair K70 Pro Mini đen Red sw ,Corsair,EK375,vừa có dây vừa không dây,0.5807860262008734,green,2539000
Bàn phím có dây Corsair K70 CORE-BLK-CRSR MX-RGB  ,Corsair,Everest Max,không dây,0.7212003987089425,silver,2499000
Bàn Phím Cơ Gaming Edra EK375 Alpha Brown Switch ,Edra,EK375,có dây,0.6550218340611353,green,569000
Bàn Phím Cơ Gaming Edra EK375 Alpha Red Switch ,Edra,EK375,có dây,0.6550218340611353,blue,569000
Bàn Phím Cơ Gaming Edra EK375 Alpha Blue Switch ,Edra,EK375,có dây,0.6550218340611353,yellow,569000
Bàn Phím Cơ Gaming Edra EK375 Beta Blue Switch ,Edra,EK375,có dây,0.6550218340611353,silver,569000
Bàn Phím Cơ Gaming Edra EK375 Beta Brown Switch ,Edra,EK375,có dây,0.6550218340611353,black,569000
Bàn Phím Cơ Gaming Edra EK375 Beta Red Switch ,Edra,EK375,có dây,0.6550218340611353,blue,569000
Bàn phím cơ không dây EDRA EK398L Beta Blue switch ,Edra,EK398,không dây,0.7212003987089425,cherry,649000
Bàn phím cơ không dây EDRA EK398L Beta Brown switch ,Edra,EK398,không dây,0.7212003987089425,silver,649000
Bàn phím cơ không dây EDRA EK398L Beta Red switch ,Edra,EK398,có dây,0.7212003987089425,pink,649000
Bàn phím cơ không dây EDRA EK398L Alpha Blue switch ,Edra,EK398,không dây,0.7212003987089425,yellow,649000
Bàn phím cơ không dây EDRA EK398L Alpha Brown switch ,Edra,EK398,có dây,0.7212003987089425,cherry,649000
Bàn phím Không dây Logitech MX Keys Mini Pale Grey for MAC ,Logitech,CD87HR,vừa có dây vừa không dây,0.7212003987089425,pink,2399000
Bàn phím cơ không dây EDRA EK398L Alpha Red switch ,Edra,EK398,không dây,0.7212003987089425,brown,649000
Bàn phím AKKO 3087 World Tour Tokyo ,Akko,TC-3218,có dây,0.7212003987089425,blue,1619000
Bàn phím AKKO 3061s World Tour Tokyo R2 ,Akko,EK387L White,có dây,0.5786026200873362,cherry,1049000
Bàn phím AKKO ACR 87 Black ,Akko,KB1,không dây,0.7270742358078602,black,1619000
Bàn phím cơ không dây Rapoo V700-A8 Multimode White Purple,Rapoo,Newmen GM326,có dây,0.7212003987089425,yellow,1199000
Bàn phím cơ không dây Rapoo V700-A8 Multimode White Purple,Rapoo,EK387L RGB,vừa có dây vừa không dây,0.7212003987089425,yellow,1199000
Bàn phím cơ không dây Rapoo V700-A8 Multimode White Grey,Rapoo,D87S RGB,không dây,0.7212003987089425,yellow,1199000
Bàn phím cơ không dây Rapoo V700-A8 Multimode DARK GREY ,Rapoo,EK387L RGB,không dây,0.7212003987089425,pink,1199000
Bàn phím game không dây Logitech G715 TKL RGB Aurora Off White Tactile ,Logitech,GP75CPM,không dây,0.7489082969432315,black,3799000
Bàn phím cơ Gaming không dây FANTECH MK858 White ,Fantech,Kailh Clione Limacina ,vừa có dây vừa không dây,0.7212003987089425,silver,1129000
Bàn phím game không dây Logitech G715 TKL RGB Aurora Off White Linear ,Logitech,EK314W,không dây,0.7489082969432315,green,3799000
Bàn phím cơ Gaming không dây FANTECH MK858 Black ,Fantech,EK387L RGB,không dây,0.7212003987089425,pink,1129000
Bàn phím không dây Logitech MX Mechanical Graphite Tactile sw ,Logitech,Newmen GM326,có dây,0.8864628820960698,red,3599000
Bàn phím Logitech G913 TKL Lightspeed Wireless RGB Blue Clicky switch,Logitech,Everest Max,không dây,0.7212003987089425,blue,3599000
Bàn phím cơ Logitech G512 Lightsync RGB Tactile ,Logitech,EK375,không dây,0.2292576419213974,brown,1949000
Bàn phím Logitech G913 TKL Lightspeed Wireless RGB Brown Tactile switch,Logitech,CD87HR,không dây,0.7212003987089425,brown,3599000
Bàn phím cơ Logitech G512 Lightsync RGB Clicky ,Logitech,Brown Switch ,không dây,0.2292576419213974,brown,1949000
Bàn phím không dây Logitech MX Keys Mini Graphite ,Logitech,Newmen GM326,vừa có dây vừa không dây,0.7212003987089425,blue,2599000
Bàn phím không dây Logitech MX Keys Mini Rose ,Logitech,EK368L,không dây,0.7212003987089425,black,2099000
Bàn phím Không dây Logitech MX Keys Mini Pale Grey ,Logitech,CD108HR,không dây,0.7212003987089425,black,2499000
Bàn phím cơ Darmoshark K7 Pro Gulf Racing Gateron EF Switch 3 mode ,Darmoshark,Asus ROG Strix Scope NX TKL Deluxe,không dây,0.7212003987089425,yellow,2299000
Bàn Phím Cơ Gaming Edra Ek375 Pro Alpha Blue Switch ,Edra,EK375,không dây,0.6462882096069869,brown,1099000
Bàn Phím Cơ Gaming Edra Ek375 Pro Alpha Brown Switch ,Edra,EK375,không dây,0.6462882096069869,blue,1099000
Bàn Phím Cơ Gaming Edra Ek375 Pro Alpha Red Switch ,Edra,EK375,không dây,0.6462882096069869,white,1099000
Bàn Phím Cơ Gaming Edra EK375 Pro Beta Blue Switch ,Edra,EK375,không dây,0.6462882096069869,black,1099000
Bàn Phím Cơ Gaming Edra EK375 Pro Beta Brown Switch ,Edra,EK375,không dây,0.6462882096069869,blue,1099000
Bàn phím cơ Dareu EK75 PRO TRI-MODE Black-Golden ,DAREU,TC-3218,vừa có dây vừa không dây,0.7212003987089425,black,1049000
Bàn Phím Cơ Gaming Edra EK375 Pro Beta Red Switch ,Edra,EK375,không dây,0.6462882096069869,pink,1099000
Bàn phím cơ Edra EK384 Triple Mode - Beta Red Switch ,Edra,EK1280s V2,không dây,0.7212003987089425,white,749000
Bàn phím cơ DAREU EK75 Full white ,DAREU,TC-3218,vừa có dây vừa không dây,0.006550218340611353,cherry,599000
Bàn phím cơ Edra EK384 Triple Mode - Beta Brown Switch ,Edra,EK398,không dây,0.7212003987089425,red,749000
Bàn phím cơ DAREU EK75 Full white ,DAREU,GD68,không dây,0.006550218340611353,cherry,599000
Bàn phím cơ Edra EK384 Triple Mode - Alpha Blue Switch ,Edra,FL100CPM,không dây,0.7212003987089425,cherry,749000
Bàn phím cơ Edra EK384 Triple Mode - Alpha Brown Switch ,Edra,CD87HR,không dây,0.7212003987089425,cherry,749000
Bàn phím cơ Edra EK384 Triple Mode - Alpha Red Switch ,Edra,GD68,không dây,0.7212003987089425,cherry,749000
Bàn phím cơ AKKO 3098S World Tour London ,Akko,D87S RGB,không dây,0.7751091703056768,silver,1799000
Bàn phím cơ AULA F68 3 mode Màu hồng trong suốt ,AULA,TC-3218,không dây,0.6615720524017468,red,1849000
Bàn phím cơ AULA F68 3 mode Màu trắng trong suốt ,AULA,KB1,vừa có dây vừa không dây,0.6615720524017468,silver,1849000
Bàn phím cơ Dareu EK75 PRO TRI-MODE Black-Golden ,DAREU,Razer DeathStalker V2,có dây,0.7212003987089425,cherry,1049000
Bàn phím cơ AULA F68 3 mode Màu tím trong suốt ,AULA,Kailh Clione Limacina ,không dây,0.6615720524017468,cherry,1849000
Bàn phím cơ Dareu EK75 Black White,DAREU,D87S RGB,vừa có dây vừa không dây,0.7212003987089425,black,599000
Bàn phím cơ AULA F68 3 mode Màu xanh lá ,AULA,EK314W,không dây,0.6615720524017468,white,1999000
Bàn phím cơ AKKO 3098S SpongeBob ,Akko,EK375,không dây,0.7751091703056768,blue,2599000
Bàn phím cơ AKKO 3098S World Tour London ,Akko,GM328,không dây,0.7751091703056768,silver,1799000
Bàn phím cơ AKKO 3108 RF Sailor Moon ,Akko,CK87S,không dây,0.9017467248908297,blue,2099000
Bàn phím cơ Dareu A98 PRO Tri Mode RED WAVE ,DAREU,EK387L RGB,không dây,0.7212003987089425,silver,1999000
Bàn phím cơ không dây Newmen GM1000 White sw ,Newmen,GD68,không dây,0.7445414847161572,pink,1749000
Bàn phím cơ AKKO 3084 v2 RGB - Black ,Akko,3084,không dây,0.62882096069869,red,1299000
Bàn phím cơ không dây Dareu EK807G trắng Blue sw ,DAREU,D87S RGB,không dây,0.7212003987089425,blue,449000
Bàn phím cơ không dây Dareu EK807G trắng Brown sw ,DAREU,K10,không dây,0.7212003987089425,blue,449000
Bàn phím cơ không dây Newmen GM335 Dual Mode Blue sw ,Newmen,EK314W,có dây,0.8930131004366813,green,949000
Bàn phím Asus ROG Strix Scope NX TKL Blue sw,Asus,3084,có dây,0.7183406113537117,blue,2299000
Bàn phím cơ không dây Dareu EK807G trắng Red sw ,DAREU,Brown Switch ,không dây,0.7212003987089425,blue,449000
Bàn phím cơ không dây Newmen GM335 Dual Mode Black sw ,Newmen,Everest Max,không dây,0.8930131004366813,black,949000
Bàn phím cơ game Edra EK387FL RGB Polar night Blue sw ,Edra,Kailh Clione Limacina ,có dây,0.7314410480349345,blue,999000
Bàn phím cơ game Edra EK387FL RGB Polar night Brown sw ,Edra,Newmen GM326,có dây,0.7314410480349345,blue,999000
Bàn phím máy tính có dây Kenoo K6020 - màu đen,KENOO,KB1,không dây,0.7212003987089425,black,149000
Bàn phím cơ Không dây FL-Esport Q75 Azure Green 3 Mode Jellyfish sw ,Rapoo,EK387L RGB,có dây,0.7212003987089425,pink,3399000
Bàn phím cơ không dây AKKO 3108 RF Matcha Red Bean ,Akko,ROG Falchion,có dây,0.7212003987089425,silver,1699000
Bàn phím cơ không dây AKKO 3108 RF White on Black ,Akko,Asus ROG Strix Scope NX TKL Deluxe,không dây,0.9017467248908297,yellow,1499000
Bàn phím cơ gaming có dây Razer BlackWidow V4 - Yellow Switch RZ03-04691800-R3M1,Razer,KB1,vừa có dây vừa không dây,0.7212003987089425,yellow,3999000
Bàn phím game Razer Ornata V3-Low Profile ,Razer,EK375,vừa có dây vừa không dây,0.7212003987089425,white,1499000
Bàn phím cơ Logitech G813 Lightsync RGB GL Tactile ,Logitech,EK387L White,không dây,0.7212003987089425,white,2699000
Bàn phím cơ Logitech G813 Lightsync RGB GL Linear ,Logitech,Asus ROG Strix Scope NX TKL Deluxe,không dây,0.7212003987089425,black,2699000
Bàn phím cơ Logitech G813 Lightsync RGB GL Clicky ,Logitech,FL100CPM,không dây,0.7212003987089425,cherry,2699000
Bàn phím chơi game Newmen E340+ ,Newmen,Brown Switch ,vừa có dây vừa không dây,0.7212003987089425,black,149000
Bàn phím Logitech G913 TKL Lightspeed Wireless RGB Red Linear switch,Logitech,D87S RGB,không dây,0.7212003987089425,red,3599000
Bàn phím Gaming không dây Logitech Pro X TKL Lightspeed Màu Trắng Tactile Switch ,Logitech,CK87S,không dây,0.7096069868995634,white,3999000
Bàn phím không dây Logitech K580 Graphite ,Logitech,TC-3218,không dây,0.7554585152838428,blue,899000
Bàn phím không dây Razer Pro Type Ultra Wireless Productivity ,Razer,ROG Falchion,không dây,0.8995633187772926,black,3699000
Bàn phím Gaming không dây Logitech Pro X TKL Lightspeed Màu đen Tactile Switch ,Logitech,ROG Falchion,không dây,0.7096069868995634,cherry,3999000
Bàn phím không dây Logitech K580 Pale Grey ,Logitech,Brown Switch ,không dây,0.7554585152838428,white,939000
Bàn phím cơ Dareu A98 PRO Tri Mode TIRAMISU ,DAREU,EK368L,không dây,0.7212003987089425,black,2199000
Bàn phím cơ Dareu A98 PRO Tri Mode Timeless ,DAREU,K10,không dây,0.7212003987089425,brown,2199000
Bàn phím cơ Không dây FL-Esport Q75 Azure Green 3 Mode Rosa sw ,Flesports,ROG Falchion,vừa có dây vừa không dây,0.7212003987089425,red,3399000
Bàn phím ASUS ROG Strix Scope NX TKL ,Asus,Asus ROG Strix Scope NX TKL Deluxe,không dây,0.7212003987089425,blue,2499000
Bàn Phím ASUS ROG FALCHION ACE NX ,Asus,ROG Falchion,có dây,0.6069868995633187,blue,2399000
Bàn phím cơ Asus TUF K3 ,Asus,Newmen GM326,có dây,0.7212003987089425,red,1679000
Bàn phím cơ có dây AULA F87 Đen Trắng Xanh dương ,AULA,KB1,không dây,0.7212003987089425,blue,999000
Bàn phím cơ FLEsport FL680 SAM Peach Yellow sw ,FL-Esports,GM328,không dây,0.7212003987089425,brown,2399000
Bàn phím cơ FLEsport FL680 SAM Peach Silver sw ,FL-Esports,EK1280s V2,không dây,0.7212003987089425,brown,2009000
Bàn phím cơ AKKO 5075B Plus-S Dracula Castle ,Akko,Asus ROG Strix Scope NX TKL Deluxe,không dây,0.7212003987089425,white,2199000
Bàn phím cơ AKKO 5075B Plus White ,Akko,GD68,vừa có dây vừa không dây,0.7212003987089425,yellow,1699000
Bàn phím cơ AKKO 5075B Plus White ,Akko,TC-3218,không dây,0.7212003987089425,yellow,1699000
Bàn phím cơ AKKO 3098B Plus Black ,Akko,GM328,không dây,0.7212003987089425,silver,1699000
Bàn phím cơ AKKO 3098B Plus Black ,Akko,CD108HR,không dây,0.7212003987089425,black,1699000
Bàn phím cơ AULA F75 Xanh nhạt + Trắng + Xanh đậm ,AULA,H95S Panda 3 Mode Wireless,có dây,0.7212003987089425,yellow,1399000
Bàn phím cơ AULA F75 Đen + Xanh đậm + Cam ,AULA,Razer DeathStalker V2,có dây,0.7212003987089425,green,1399000
Bàn phím cơ AULA F75 Tím nhạt + Be + Xanh lá ,AULA,3084,có dây,0.7212003987089425,silver,1399000
Bàn phím cơ AULA F87 3 mode Đen Trắng Xanh dương ,AULA,CD108HR,không dây,0.7212003987089425,blue,1399000
Bàn phím cơ AULA F87 3 mode Đen Trắng Xanh lá ,AULA,FL100CPM,có dây,0.7212003987089425,blue,1399000
Bàn phím Fuhlen L500S ,Fuhlen,TC-3218,vừa có dây vừa không dây,0.7212003987089425,silver,199000
Bàn phím cơ quang EDRA EK300 Alpha,Edra,CK87S,không dây,0.7212003987089425,cherry,699000
Bàn phím cơ Edra EK3104 Lạc Hồng White Led Black sw ,Edra,KB1,vừa có dây vừa không dây,0.9148471615720524,green,1599000
Bàn phím cơ Edra EK3104 Lạc Hồng White Led Yellow sw ,Edra,EK87,có dây,0.9148471615720524,pink,1649000
Bàn phím cơ không dây Newmen GM1000 Yellow sw ,Newmen,EK398,không dây,0.7445414847161572,blue,1699000
Bàn phím cơ DarkFlash GD68 Starry Blue - Yellow Axis switch ,Darkflash,GD68,không dây,0.7212003987089425,yellow,599000
Bàn phím cơ DarkFlash GD68 Brown Sugar - Yellow Axis switch ,Darkflash,GD68,không dây,0.7212003987089425,yellow,599000
Bàn phím cơ DarkFlash GD68 Milky & Brown - Yellow Axis switch ,Darkflash,GD68,không dây,0.7212003987089425,yellow,599000
Bàn phím cơ Dareu EK1280 v2 Black ,DAREU,TC-3218,có dây,0.7212003987089425,blue,799000
Bàn phím cơ DarkFlash GD68 Starry Blue - Yellow Axis switch ,Darkflash,GD68,không dây,0.7212003987089425,yellow,599000
Bàn phím cơ DarkFlash GD68 Brown Sugar - Yellow Axis switch ,Darkflash,GD68,không dây,0.7212003987089425,yellow,599000
Bàn phím cơ DarkFlash GD68 Milky & Brown - Yellow Axis switch ,Darkflash,GD68,không dây,0.7212003987089425,yellow,599000
Bàn phím cơ Dareu EK1280 v2 Black ,DAREU,Kailh Clione Limacina ,có dây,0.7212003987089425,blue,799000
Bàn phím cơ Dareu EK1280S v2 Black ,DAREU,EK1280s V2,không dây,0.7212003987089425,yellow,649000
Bàn phím cơ Dareu EK87 v2 Black ,DAREU,EK87,vừa có dây vừa không dây,0.7212003987089425,blue,499000
Bàn phím cơ Dareu EK87 v2 Black ,DAREU,EK87,vừa có dây vừa không dây,0.7212003987089425,silver,499000
Bàn phím cơ Dareu EK87 v2 Black ,DAREU,EK87,vừa có dây vừa không dây,0.7212003987089425,brown,499000
Bàn phím cơ không dây EDRA EK368L White Black Red switch ,Edra,EK368L,không dây,0.7212003987089425,yellow,499000
Bàn phím cơ không dây EDRA EK368L White Black Brown switch ,Edra,EK368L,vừa có dây vừa không dây,0.7212003987089425,green,499000
Bàn phím cơ không dây EDRA EK368L White Black Blue switch ,Edra,EK368L,có dây,0.7212003987089425,blue,499000
Bàn phím cơ không dây Fuhlen T87S Pro White Blue Switch,Fuhlen,T87s Pro Wireless,có dây,0.722707423580786,red,1399000
Bàn phím Asus ROG Strix Scope NX Red sw,Asus,H95S Panda 3 Mode Wireless,có dây,0.9017467248908297,red,2699000
Bàn phím cơ LEOPOLD FC750RBT Blue Font Silent Red Switch ,Leopold,EK1280s V2,có dây,0.7212003987089425,yellow,3599000
Bàn phím cơ LEOPOLD FC750RBT Blue Coral Silent Red Switch ,Leopold,ROG Falchion,vừa có dây vừa không dây,0.7212003987089425,cherry,3599000
Bàn phím cơ LEOPOLD FC750RBT Blue Coral Red Switch ,Leopold,EK387L RGB,có dây,0.7212003987089425,red,3599000
Bàn phím cơ LEOPOLD FC750RBT White Mint Silent Red Switch ,Leopold,Everest Max,không dây,0.7212003987089425,pink,3599000
